episode,timestep,reward
1,29,4.532
2,137,-27.097
3,300,-104.842
4,332,15.047
5,443,4.591
6,539,26.31
7,764,-50.107
8,1764,-362.58
9,1815,-14.47
10,2107,-135.848
11,2159,-5.285
12,3159,-297.264
13,3232,-20.325
14,3267,32.642
15,3286,-31.342
16,3452,-103.628
17,3473,-3.672
18,3500,22.328
19,3544,16.484
20,3609,-0.119
21,3623,-6.13
22,3724,9.319
23,3780,-35.13
24,3871,8.777
25,3932,-8.938
26,3950,-18.942
27,3993,-26.59
28,4023,-39.694
29,4085,16.002
30,4270,-80.321
31,4371,-44.713
32,4397,-6.998
33,4486,-41.028
34,5486,-307.38
35,6486,-353.799
36,6562,-81.283
37,6731,-66.139
38,6761,-22.866
39,6868,-13.547
40,6902,-9.813
41,6920,-16.943
42,7920,-286.926
43,7982,5.967
44,8065,-82.968
45,8100,-39.563
46,8203,-14.081
47,9203,-332.014
48,9233,-5.023
49,9259,1.623
50,9374,-11.549
51,9387,-6.9
52,10387,-373.028
53,10665,-157.85
54,11665,-341.285
55,11723,-55.792
56,11836,-56.672
57,11893,-8.333
58,11970,36.476
59,12052,-50.813
60,12151,-44.569
61,12224,-38.895
62,12296,-37.769
63,12369,-20.615
64,12450,-21.287
65,12479,2.572
66,12524,-29.853
67,12543,-17.275
68,12603,-6.567
69,12620,-12.28
70,13620,-328.922
71,13678,-31.215
72,13694,-0.803
73,13792,-30.491
74,13858,-23.157
75,14077,-29.622
76,14099,-15.647
77,14162,-37.819
78,14188,-10.159
79,14223,-5.166
80,14333,-59.381
81,14351,-5.023
82,14474,-73.787
83,14545,22.211
84,14559,1.782
85,15559,-305.356
86,15647,-68.847
87,15673,-12.518
88,15722,-24.855
89,15861,-54.432
90,15894,-4.828
91,16099,-132.862
92,16154,-25.827
93,16167,-15.317
94,16206,-10.857
95,16436,-43.72
96,16606,-18.777
97,16655,-34.947
98,17655,-327.95
99,17814,-34.266
100,18024,-150.624
101,18038,3.936
102,18071,-24.144
103,18261,-49.5
104,18284,0.198
105,18316,13.092
106,18346,-40.756
107,18414,-14.099
108,18429,-8.89
109,18452,-1.969
110,19452,-293.056
111,19521,-37.683
112,19580,-27.894
113,19679,-20.017
114,19828,-98.47
115,19864,-17.973
116,20034,-48.475
117,20116,-23.467
118,20131,-9.416
119,20174,8.415
120,20299,-39.597
121,20325,-9.087
122,20392,-6.511
123,20452,-21.284
124,20490,-21.667
125,20520,-16.319
126,20753,-94.188
127,20891,-47.328
128,20927,-3.66
129,20988,-35.811
130,21017,-10.651
131,21047,-6.781
132,21152,-32.89
133,21170,-5.288
134,22170,-326.549
135,22220,-23.594
136,22236,-10.356
137,22266,-7.578
138,22335,-6.199
139,22449,-33.097
140,22483,-14.648
141,22544,-41.497
142,22611,-10.661
143,22632,-4.197
144,22674,-26.028
145,22810,23.375
146,22853,-32.682
147,22984,-19.592
148,23044,24.993
149,23095,-30.317
150,23120,-15.32
151,23162,-5.671
152,23220,-25.177
153,24220,-357.136
154,24246,-18.607
155,24316,-60.997
156,24420,3.121
157,24506,-21.034
158,24569,24.728
159,25569,-963.518
160,25619,-78.661
161,26619,275.06
162,27619,450.123
163,28619,522.772
164,29619,423.121
165,30619,599.825
166,30707,64.044
167,30823,33.553
168,30936,57.593
169,31936,502.945
170,32936,454.075
171,32954,-2.243
172,32975,1.203
173,33033,20.624
174,34033,-383.295
175,35033,-414.72
176,35144,-26.357
177,35158,0.745
178,35246,-25.578
179,35282,-11.176
180,35472,-36.879
181,35575,-3.401
182,35633,10.366
183,35809,-69.568
184,35858,-32.616
185,35989,-14.002
186,36018,-21.794
187,37018,-312.768
188,38018,-448.843
189,38071,2.416
190,38134,30.871
191,38232,18.211
192,38311,2.48
193,38335,-25.374
194,38395,-9.075
195,38421,-2.777
196,38459,8.036
197,38475,6.039
198,38611,-11.667
199,38689,24.826
200,38885,-68.62
201,38917,-17.956
202,38967,-16.979
203,39138,-115.17
204,39239,29.087
205,39291,-27.672
206,39955,-249.875
207,40036,4.291
208,40145,3.767
209,41145,-571.947
210,41345,-195.246
211,41418,33.349
212,42418,-556.847
213,42455,-4.882
214,42642,-110.597
215,43642,-560.002
216,43720,-26.625
217,43774,-6.43
218,44074,17.941
219,44154,13.381
220,44299,-6.456
221,44477,-95.386
222,44612,-16.204
223,44750,-1.055
224,44901,-14.854
225,45901,-734.825
226,46197,-156.118
227,46215,1.495
228,47215,-595.443
229,47242,-38.684
230,47347,-128.875
231,47413,-21.772
232,47448,-14.871
233,47545,-42.808
234,47902,-158.164
235,48902,-564.047
236,49048,18.791
237,49280,-18.04
238,49371,-35.369
239,49574,29.526
240,50170,-322.835
241,50261,25.738
242,50276,10.642
243,50336,-0.981
244,50531,-22.708
245,51531,-431.686
246,51673,-29.634
247,51789,-95.345
248,52789,-348.66
249,52829,-5.031
250,52911,-19.008
251,53911,-396.777
252,54911,-469.746
253,55236,-1.986
254,55298,-3.098
255,55374,19.382
256,55700,-48.673
257,55799,-33.995
258,55855,18.206
259,56055,112.066
260,56256,-67.374
261,56364,-15.124
262,56697,-80.681
263,56721,-11.023
264,56758,-17.108
265,56858,-30.03
266,57858,-334.85
267,58858,-243.613
268,59128,-76.165
269,59168,20.454
270,60168,-296.704
271,60249,-9.942
272,60368,17.093
273,60474,-7.383
274,60489,-1.842
275,60665,29.317
276,60781,-0.619
277,60862,21.82
278,61120,34.175
279,62120,-162.76
280,63120,-276.974
281,63186,21.649
282,64186,-141.676
283,64254,-18.348
284,64393,55.151
285,64448,27.998
286,65448,-302.574
287,65842,79.677
288,66056,26.409
289,66147,4.153
290,67147,10.156
291,68147,-32.593
292,69147,-90.491
293,70147,-162.098
294,70177,3.033
295,70222,5.176
296,70307,58.135
297,70882,-15.064
298,70903,-17.9
299,71903,-271.307
300,71987,10.231
301,72987,-188.792
302,73045,-31.878
303,73134,-0.468
304,73239,30.747
305,73253,-14.024
306,73296,13.266
307,73434,-38.245
308,74434,-121.682
309,75434,-286.756
310,76434,-119.042
311,76701,-21.082
312,77060,192.741
313,77259,61.497
314,77291,-7.392
315,77419,-5.674
316,77460,25.296
317,77565,58.382
318,77761,43.022
319,78761,-215.041
320,79020,16.612
321,79075,42.337
322,80075,-201.383
323,80148,-26.04
324,81148,-323.899
325,82148,-306.502
326,82207,-17.754
327,82484,64.632
328,82720,73.216
329,82823,69.084
330,83823,-82.787
331,83866,12.421
332,84866,-184.363
333,84928,13.098
334,84946,11.613
335,84961,11.136
336,85961,-94.377
337,86169,98.168
338,86249,37.978
339,86387,77.409
340,86454,11.313
341,87454,-291.604
342,87588,83.706
343,88588,106.115
344,88659,31.74
345,88720,21.476
346,88808,26.207
347,89808,72.543
348,89899,45.863
349,90237,176.385
350,90257,15.597
351,91257,-105.069
352,91282,18.055
353,92282,66.152
354,93282,38.148
355,93679,154.645
356,94679,-20.135
357,94714,12.046
358,94885,66.813
359,95028,64.819
360,96028,-108.856
361,97028,-131.804
362,97161,83.462
363,98161,-37.642
364,98349,64.905
365,98382,-4.429
366,99382,66.738
367,99521,18.094
