episode,timestep,reward
1,1000,-287.377
2,2000,-348.638
3,3000,-348.229
4,4000,-234.313
5,5000,-255.315
6,6000,-259.113
7,7000,-332.956
8,8000,-163.807
9,9000,-222.161
10,10000,-260.154
11,11000,-353.125
12,12000,-325.489
13,13000,-386.064
14,14000,-383.982
15,15000,-393.074
16,16000,-254.601
17,17000,-274.268
18,18000,-337.635
19,19000,-223.748
20,20000,-181.753
21,21000,-259.927
22,22000,-252.472
23,23000,-257.997
24,24000,-227.233
25,25000,-312.384
26,26000,-474.063
27,27000,-504.712
28,28000,-821.123
29,29000,-573.834
30,30000,-446.596
31,31000,-357.216
32,32000,-380.937
33,33000,-721.84
34,34000,-629.514
35,35000,-614.496
36,36000,-355.884
37,37000,402.01
38,38000,1130.769
39,39000,1206.944
40,40000,739.62
41,41000,1438.222
42,42000,1169.116
43,43000,1043.576
44,44000,1354.335
45,45000,1355.961
46,46000,1514.829
47,47000,1356.351
48,48000,1571.933
49,49000,1619.008
50,50000,-421.759
51,51000,519.067
52,52000,1264.493
53,53000,1487.919
54,54000,1421.681
55,55000,-341.098
56,56000,1726.063
57,57000,1742.217
58,58000,1324.353
59,59000,1508.349
60,60000,2171.549
61,61000,1517.34
62,62000,1849.549
63,63000,1990.968
64,64000,1640.284
65,65000,2042.906
66,66000,1808.359
67,67000,1937.5
68,68000,2190.552
69,69000,2058.383
70,70000,2077.964
71,71000,2436.049
72,72000,1493.819
73,73000,2045.114
74,74000,2125.423
75,75000,1986.897
76,76000,2287.614
77,77000,2313.291
78,78000,2184.451
79,79000,2047.566
80,80000,1215.704
81,81000,1892.172
82,82000,2203.117
83,83000,2017.759
84,84000,1944.614
85,85000,1746.558
86,86000,1715.914
87,87000,1846.962
88,88000,2102.588
89,89000,1384.361
90,90000,1794.395
91,91000,1468.801
92,92000,1535.386
93,93000,2116.536
94,94000,1864.163
95,95000,1800.335
96,96000,2362.485
97,97000,2157.811
98,98000,2014.971
99,99000,1495.318
100,100000,2519.92
