episode,timestep,reward
1,6,54.295
2,12,54.25
3,19,63.531
4,24,44.948
5,29,45.535
6,37,72.69
7,41,35.994
8,48,64.039
9,56,72.697
10,64,73.356
11,71,63.692
12,76,45.114
13,81,44.929
14,88,63.997
15,97,82.265
16,101,35.829
17,112,100.765
18,122,91.658
19,127,45.24
20,131,36.143
21,137,54.493
22,142,45.273
23,150,73.163
24,154,35.981
25,161,64.126
26,168,64.078
27,173,45.153
28,180,63.863
29,188,73.175
30,198,91.898
31,203,44.763
32,210,63.385
33,215,45.238
34,221,54.921
35,225,35.692
36,234,82.64
37,239,45.087
38,244,45.192
39,249,45.104
40,255,54.699
41,262,64.071
42,270,73.624
43,275,45.229
44,279,35.847
45,283,36.079
46,289,54.585
47,293,35.985
48,300,63.67
49,305,45.299
50,310,45.205
51,316,54.144
52,326,91.452
53,333,63.784
54,337,35.953
55,343,54.886
56,353,91.538
57,361,73.368
58,368,63.808
59,374,54.436
60,383,82.303
61,391,72.878
62,395,36.337
63,401,54.448
64,409,73.036
65,414,45.114
66,418,35.83
67,426,73.059
68,432,54.564
69,438,54.475
70,446,73.239
71,453,63.654
72,462,82.614
73,469,64.04
74,476,63.679
75,484,73.137
76,490,54.675
77,496,54.139
78,501,45.231
79,506,44.635
80,512,54.059
81,517,45.495
82,525,73.348
83,531,54.25
84,536,44.854
85,544,73.22
86,553,82.345
87,559,54.736
88,566,63.839
89,573,63.999
90,579,54.155
91,585,54.724
92,593,73.058
93,600,63.641
94,606,54.043
95,611,45.202
96,616,45.357
97,624,73.35
98,632,73.08
99,636,35.668
100,644,73.085
101,648,36.282
102,654,54.336
103,659,44.608
104,667,72.641
105,672,45.425
106,679,63.519
107,687,72.893
108,691,36.098
109,697,54.499
110,703,54.577
111,709,54.624
112,714,45.496
113,718,35.683
114,726,73.317
115,734,72.921
116,739,44.837
117,746,63.858
118,753,63.898
119,759,54.618
120,766,63.866
121,773,63.932
122,779,54.668
123,784,45.054
124,792,73.005
125,798,54.48
126,803,45.355
127,812,82.888
128,820,73.302
129,829,82.124
130,839,91.897
131,845,54.277
132,849,36.075
133,856,63.655
134,865,83.012
135,870,45.266
136,876,54.003
137,880,35.987
138,885,45.466
139,892,63.944
140,899,63.996
141,903,36.107
142,912,82.371
143,918,54.731
144,923,45.417
145,930,63.395
146,938,73.059
147,943,45.506
148,949,54.363
149,955,54.158
150,964,82.368
151,970,54.069
152,978,73.098
153,983,45.567
154,988,44.998
155,993,45.16
156,999,54.413
157,1004,45.261
158,1013,82.519
159,1017,36.171
160,1027,91.86
161,1032,45.354
162,1038,54.341
163,1046,73.209
164,1054,72.714
165,1061,63.925
166,1068,64.194
167,1074,54.358
168,1079,44.908
169,1084,45.31
170,1092,73.419
171,1098,54.273
172,1104,54.322
173,1111,64.259
174,1118,63.475
175,1125,64.077
176,1131,54.497
177,1135,36.058
178,1139,36.135
179,1146,63.562
180,1155,82.923
181,1159,35.922
182,1166,63.573
183,1174,73.081
184,1180,54.464
185,1188,73.261
186,1194,54.606
187,1200,54.487
188,1206,54.501
189,1214,73.217
190,1219,45.162
191,1223,35.987
192,1234,101.068
193,1238,35.821
194,1242,36.117
195,1250,72.979
196,1254,36.234
197,1260,54.402
198,1268,73.082
199,1273,45.492
200,1278,45.273
201,1283,45.252
202,1288,45.457
203,1296,73.622
204,1301,45.388
205,1308,64.184
206,1313,45.285
207,1322,82.688
208,1326,35.596
209,1330,35.764
210,1334,36.217
211,1340,54.71
212,1345,45.194
213,1351,54.571
214,1355,36.033
215,1361,54.022
216,1368,63.918
217,1376,72.858
218,1382,54.062
219,1386,36.001
220,1394,73.001
221,1399,45.202
222,1403,36.01
223,1409,54.867
224,1413,36.336
225,1418,45.267
226,1427,82.36
227,1437,91.757
228,1442,45.135
229,1449,63.834
230,1457,72.923
231,1462,44.953
232,1469,63.379
233,1478,82.297
234,1482,36.092
235,1487,45.312
236,1493,54.16
237,1498,45.413
238,1505,64.235
239,1516,101.439
240,1522,54.58
241,1527,44.867
242,1532,45.39
243,1538,54.468
244,1545,63.488
245,1551,54.664
246,1560,82.668
247,1568,73.04
248,1573,44.98
249,1580,63.787
250,1588,72.696
251,1593,45.208
252,1597,35.9
253,1601,36.009
254,1606,45.465
255,1613,63.693
256,1620,63.867
257,1624,35.932
258,1631,64.33
259,1637,54.738
260,1642,45.485
261,1649,63.533
262,1654,45.166
263,1664,91.926
264,1674,92.146
265,1681,64.17
266,1688,64.056
267,1696,73.097
268,1702,54.235
269,1709,63.726
270,1713,35.868
271,1719,54.423
272,1724,45.275
273,1732,73.303
274,1740,73.117
275,1748,73.222
276,1756,73.403
277,1763,63.86
278,1768,45.45
279,1774,54.713
280,1780,54.197
281,1786,54.24
282,1791,45.014
283,1800,82.963
284,1804,36.102
285,1809,44.965
286,1819,92.292
287,1827,72.828
288,1835,72.672
289,1840,45.527
290,1845,44.976
291,1854,82.708
292,1860,54.293
293,1865,45.52
294,1875,91.986
295,1881,54.336
296,1887,54.641
297,1894,63.315
298,1898,36.085
299,1903,45.096
300,1911,73.005
301,1915,36.058
302,1919,36.184
303,1925,54.079
304,1930,44.923
305,1938,73.387
306,1948,92.071
307,1955,63.42
308,1961,54.365
309,1966,45.557
310,1970,35.968
311,1975,45.09
312,1983,73.318
313,1995,110.358
314,2001,54.381
315,2007,54.643
316,2012,45.414
317,2020,73.332
318,2031,101.572
319,2035,35.912
320,2041,54.61
321,2046,45.657
322,2052,54.176
323,2056,36.085
324,2061,44.926
325,2068,63.495
326,2075,63.403
327,2080,45.102
328,2090,92.061
329,2095,45.471
330,2101,54.808
331,2109,73.441
332,2114,45.0
333,2121,63.791
334,2132,101.329
335,2137,45.418
336,2143,54.684
337,2149,54.495
338,2154,45.085
339,2159,45.118
340,2164,45.489
341,2168,35.534
342,2175,63.619
343,2179,35.735
344,2184,45.288
345,2194,91.802
346,2200,54.292
347,2210,91.923
348,2217,64.25
349,2221,36.08
350,2228,63.676
351,2234,54.509
352,2242,73.479
353,2248,54.054
354,2254,54.792
355,2263,83.064
356,2270,63.571
357,2275,45.382
358,2283,72.96
359,2287,35.926
360,2293,54.244
361,2302,82.165
362,2306,35.849
363,2312,54.75
364,2320,73.146
365,2327,63.687
366,2332,44.793
367,2338,54.5
368,2343,45.259
369,2349,54.57
370,2354,45.328
371,2362,73.081
372,2367,45.197
373,2372,44.983
374,2378,54.009
375,2383,45.127
376,2392,82.273
377,2397,45.126
378,2403,54.265
379,2408,45.084
380,2413,45.326
381,2420,64.143
382,2429,82.553
383,2436,64.059
384,2442,54.35
385,2447,45.009
386,2452,44.856
387,2457,45.275
388,2463,54.22
389,2469,54.496
390,2476,63.265
391,2484,72.947
392,2489,45.108
393,2495,54.847
394,2500,44.899
395,2507,63.625
396,2513,54.601
397,2518,44.996
398,2523,44.885
399,2529,54.381
400,2534,45.005
401,2539,45.096
402,2544,45.095
403,2549,45.261
404,2554,45.122
405,2566,110.137
406,2577,101.168
407,2583,54.627
408,2591,72.683
409,2595,35.998
410,2601,54.713
411,2610,82.122
412,2615,45.063
413,2628,119.32
414,2636,72.892
415,2641,45.216
416,2648,63.89
417,2654,54.609
418,2659,45.485
419,2668,82.612
420,2675,64.022
421,2687,110.443
422,2691,36.347
423,2699,73.195
424,2704,45.163
425,2711,63.84
426,2717,54.353
427,2722,44.925
428,2728,54.385
429,2734,54.227
430,2739,45.098
431,2746,63.475
432,2753,63.469
433,2760,63.497
434,2765,45.153
435,2771,54.053
436,2777,54.413
437,2781,35.629
438,2785,36.273
439,2793,73.008
440,2799,54.32
441,2804,45.615
442,2811,63.501
443,2815,35.562
444,2821,53.987
445,2827,54.254
446,2833,54.481
447,2838,44.979
448,2843,45.237
449,2851,73.247
450,2856,45.485
451,2860,35.931
452,2866,54.91
453,2871,45.334
454,2881,91.523
455,2889,73.353
456,2894,44.967
457,2900,54.356
458,2906,54.291
459,2911,45.06
460,2916,45.018
461,2926,91.596
462,2936,91.321
463,2944,73.155
464,2951,63.598
465,2957,54.51
466,2962,45.366
467,2969,63.994
468,2975,54.497
469,2983,73.241
470,2988,44.86
471,2992,35.567
472,3002,92.01
473,3006,36.293
474,3012,54.752
475,3018,54.64
476,3026,72.673
477,3031,44.935
478,3037,54.673
479,3047,91.921
480,3053,54.351
481,3061,73.293
482,3069,72.781
483,3076,63.854
484,3084,72.816
485,3091,64.1
486,3099,73.09
487,3105,54.315
488,3110,44.968
489,3120,91.748
490,3127,63.725
491,3131,35.745
492,3137,54.82
493,3142,45.493
494,3148,54.312
495,3155,63.959
496,3159,35.771
497,3165,54.199
498,3170,45.399
499,3177,63.856
500,3182,45.102
501,3187,45.069
502,3193,54.244
503,3199,54.175
504,3211,110.328
505,3218,64.044
506,3223,45.264
507,3228,44.843
508,3237,82.969
509,3242,45.238
510,3247,44.739
511,3258,101.136
512,3263,45.111
513,3269,54.959
514,3277,73.324
515,3283,54.44
516,3289,54.406
517,3294,45.444
518,3301,63.393
519,3310,82.659
520,3315,45.128
521,3321,54.744
522,3325,36.27
523,3330,45.203
524,3336,54.505
525,3344,73.469
526,3348,35.821
527,3352,35.702
528,3362,91.35
529,3367,45.198
530,3372,45.516
531,3377,45.171
532,3381,36.079
533,3386,45.072
534,3391,44.994
535,3399,73.22
536,3405,54.598
537,3411,54.024
538,3422,100.888
539,3427,45.275
540,3434,64.066
541,3445,101.242
542,3449,36.054
543,3455,54.245
544,3461,54.226
545,3470,82.288
546,3475,45.048
547,3480,45.07
548,3487,63.734
549,3491,36.039
550,3496,44.993
551,3501,45.221
552,3506,45.307
553,3510,36.152
554,3516,54.675
555,3521,45.551
556,3530,82.662
557,3537,63.562
558,3544,63.755
559,3549,44.816
560,3554,45.286
561,3558,36.046
562,3564,54.502
563,3572,73.155
564,3579,63.724
565,3586,63.682
566,3592,54.443
567,3599,63.946
568,3603,36.189
569,3608,44.975
570,3612,36.13
571,3624,110.728
572,3631,63.446
573,3636,44.931
574,3642,54.815
575,3647,44.913
576,3651,36.123
577,3658,64.18
578,3667,82.285
579,3671,36.175
580,3675,36.049
581,3680,45.444
582,3685,45.012
583,3692,64.051
584,3699,63.681
585,3708,82.603
586,3721,119.583
587,3727,54.751
588,3734,63.939
589,3739,45.013
590,3746,64.238
591,3758,110.727
592,3765,63.61
593,3772,63.988
594,3780,73.478
595,3787,63.758
596,3793,54.62
597,3798,44.919
598,3804,54.678
599,3810,54.633
600,3816,54.336
601,3823,63.391
602,3829,54.587
603,3833,35.967
604,3838,45.144
605,3848,91.964
606,3855,63.895
607,3860,44.874
608,3864,36.182
609,3869,45.008
610,3875,54.752
611,3879,36.015
612,3884,44.928
613,3891,63.924
614,3895,35.851
615,3899,35.716
616,3905,54.531
617,3911,54.437
618,3919,73.345
619,3924,45.066
620,3933,82.282
621,3937,36.215
622,3943,54.515
623,3950,63.737
624,3958,73.375
625,3964,54.734
626,3971,63.78
627,3978,63.859
628,3982,35.72
629,3987,45.299
630,3994,64.262
631,4004,91.406
632,4012,73.473
633,4019,63.662
634,4027,73.181
635,4034,63.798
636,4050,147.087
637,4056,54.38
638,4069,120.425
639,4076,63.963
640,4084,72.695
641,4091,63.662
642,4098,63.764
643,4105,63.466
644,4111,54.315
645,4117,54.31
646,4123,54.626
647,4128,45.237
648,4133,45.38
649,4140,63.654
650,4148,72.88
651,4152,36.078
652,4156,36.095
653,4164,73.477
654,4170,54.335
655,4174,36.157
656,4181,63.371
657,4185,35.753
658,4193,72.851
659,4201,73.087
660,4206,45.102
661,4210,36.067
662,4215,45.281
663,4223,73.35
664,4230,63.657
665,4238,73.225
666,4244,54.613
667,4248,36.21
668,4258,91.415
669,4263,45.289
670,4272,82.169
671,4276,35.88
672,4280,35.94
673,4285,45.114
674,4291,54.285
675,4295,36.01
676,4301,54.505
677,4306,45.094
678,4311,45.15
679,4315,36.153
680,4322,63.294
681,4326,36.253
682,4332,54.604
683,4341,82.187
684,4349,73.632
685,4357,73.733
686,4363,54.088
687,4371,73.306
688,4378,63.464
689,4384,54.863
690,4390,54.695
691,4398,72.812
692,4402,36.021
693,4407,45.169
694,4412,44.807
695,4423,101.257
696,4428,45.038
697,4433,44.882
698,4437,35.911
699,4445,73.399
700,4453,72.769
701,4460,63.257
702,4468,73.311
703,4477,81.93
704,4482,45.053
705,4487,45.479
706,4494,63.636
707,4503,81.932
708,4508,45.124
709,4514,53.941
710,4521,63.929
711,4526,45.183
712,4532,54.752
713,4536,36.21
714,4540,36.138
715,4548,73.454
716,4554,54.677
717,4560,54.704
718,4565,45.102
719,4570,44.89
720,4579,82.625
721,4583,36.17
722,4587,35.744
723,4593,54.018
724,4597,36.15
725,4604,63.593
726,4609,45.067
727,4615,54.538
728,4622,63.869
729,4631,82.532
730,4639,72.988
731,4646,63.932
732,4651,45.483
733,4657,54.686
734,4663,54.519
735,4668,44.692
736,4674,54.285
737,4683,82.424
738,4689,54.568
739,4694,45.238
740,4698,35.977
741,4704,54.671
742,4709,45.291
743,4713,36.11
744,4720,64.352
745,4724,36.104
746,4734,91.649
747,4743,83.134
748,4749,54.233
749,4758,82.235
750,4767,82.351
751,4774,63.83
752,4782,73.045
753,4786,36.019
754,4790,35.666
755,4796,54.407
756,4802,54.575
757,4807,44.993
758,4811,35.997
759,4817,53.942
760,4820,26.844
761,4826,54.459
762,4833,64.078
763,4837,35.805
764,4843,54.479
765,4849,54.505
766,4855,54.39
767,4862,63.928
768,4867,45.363
769,4873,54.498
770,4878,45.047
771,4883,45.447
772,4892,82.292
773,4897,44.933
774,4903,54.406
775,4909,54.67
776,4913,36.011
777,4918,45.011
778,4923,44.751
779,4929,54.77
780,4936,64.003
781,4940,36.032
782,4945,44.823
783,4950,45.238
784,4957,63.712
785,4967,91.251
786,4972,44.932
787,4978,54.5
788,4983,45.346
789,4989,54.222
790,4994,45.071
791,5001,63.727
792,5007,54.542
793,5015,73.531
794,5020,45.104
795,5024,35.693
796,5030,54.366
797,5041,101.644
798,5050,82.993
799,5059,82.441
800,5064,44.951
801,5070,54.485
802,5080,92.196
803,5092,110.363
804,5097,44.933
805,5102,44.903
806,5108,54.196
807,5115,64.029
808,5120,45.4
809,5130,91.697
810,5134,36.06
811,5144,91.943
812,5150,54.72
813,5155,45.568
814,5162,64.475
815,5169,63.318
816,5176,64.037
817,5184,73.166
818,5189,45.022
819,5196,64.044
820,5204,73.424
821,5210,54.433
822,5216,54.376
823,5220,36.066
824,5225,45.382
825,5230,45.025
826,5234,36.077
827,5238,35.939
828,5243,45.324
829,5248,45.237
830,5256,73.409
831,5263,63.645
832,5269,54.324
833,5273,36.296
834,5279,54.678
835,5288,82.534
836,5296,72.534
837,5302,54.629
838,5308,54.696
839,5314,54.653
840,5322,73.2
841,5329,63.777
842,5335,54.237
843,5342,63.981
844,5346,36.119
845,5353,63.819
846,5357,36.298
847,5365,73.409
848,5372,63.682
849,5377,45.303
850,5385,73.296
851,5395,91.76
852,5399,36.017
853,5405,54.725
854,5411,54.339
855,5416,44.951
856,5424,73.601
857,5433,82.48
858,5440,64.2
859,5446,54.764
860,5454,73.205
861,5462,72.949
862,5469,64.204
863,5475,54.365
864,5485,91.872
865,5489,36.086
866,5495,54.523
867,5500,45.26
868,5506,54.293
869,5511,45.031
870,5515,35.729
871,5521,54.237
872,5526,44.599
873,5531,45.212
874,5539,73.01
875,5546,63.87
876,5553,63.535
877,5559,54.237
878,5564,45.179
879,5569,45.163
880,5573,36.048
881,5579,54.162
882,5589,92.225
883,5595,54.944
884,5602,63.508
885,5611,82.155
886,5617,54.674
887,5624,64.151
888,5628,36.221
889,5634,54.41
890,5641,64.1
891,5649,73.326
892,5654,44.724
893,5660,54.381
894,5666,54.743
895,5671,45.469
896,5676,45.107
897,5685,82.758
898,5691,54.364
899,5702,101.052
900,5708,54.421
901,5713,44.819
902,5719,54.731
903,5723,35.935
904,5728,45.23
905,5740,110.424
906,5746,54.671
907,5750,36.024
908,5757,63.587
909,5765,72.943
910,5772,63.587
911,5779,63.685
912,5786,63.781
913,5791,45.278
914,5796,45.028
915,5805,82.517
916,5810,45.088
917,5816,54.22
918,5824,72.908
919,5829,45.463
920,5834,45.094
921,5840,54.267
922,5846,54.456
923,5851,45.098
924,5857,54.262
925,5865,72.877
926,5871,54.61
927,5877,54.203
928,5884,64.004
929,5890,54.747
930,5898,72.782
931,5903,45.124
932,5910,63.511
933,5916,54.816
934,5925,82.301
935,5936,101.316
936,5941,45.408
937,5950,82.676
938,5954,35.914
939,5960,54.704
940,5965,44.959
941,5971,54.487
942,5977,54.344
943,5983,54.567
944,5987,35.876
945,5992,45.042
946,5997,44.895
947,6007,91.897
948,6013,54.532
