episode,timestep,reward
10,1000,-206.329
20,2000,-212.4059
30,3000,-247.8339
41,4000,-209.1729
51,5000,-200.4074
61,6000,-161.4081
71,7000,-159.3995
82,8000,-143.0567
92,9000,-147.5004
103,10000,-170.1249
114,11000,-118.9266
127,12000,-109.3855
139,13000,-105.0208
152,14000,-120.1297
163,15000,-98.1465
175,16000,-135.9564
188,17000,-96.57
199,18000,-96.4519
210,19000,-73.3242
222,20000,-109.19
232,21000,-91.9185
242,22000,-76.7563
252,23000,-65.4077
262,24000,-49.695
274,25000,-67.2142
283,26000,-55.081
293,27000,-61.3902
303,28000,-55.6555
311,29000,-45.6675
321,30000,-70.7703
332,31000,-64.1805
342,32000,-60.5632
351,33000,-59.118
359,34000,-69.1989
368,35000,-32.6401
373,36000,-2.2731
381,37000,-42.7636
386,38000,5.0183
391,39000,-25.9437
395,40000,-22.9561
401,41000,-28.7956
405,42000,-44.5112
409,43000,-9.5337
413,44000,-97.9947
417,45000,-48.3857
421,46000,-57.417
425,47000,-63.4199
429,48000,59.582
433,49000,42.24
438,50000,-40.7018
442,51000,-60.2103
447,52000,20.5286
453,53000,-39.4338
457,54000,44.0713
461,55000,-31.7541
466,56000,7.6867
471,57000,-5.691
475,58000,-53.0118
479,59000,-75.88
482,60000,51.1244
485,61000,24.2368
488,62000,1.3652
491,63000,40.8098
494,64000,54.7363
496,65000,63.2959
498,66000,-59.6422
500,67000,45.402
502,68000,133.3525
504,69000,92.6292
508,70000,1.9669
510,71000,-11.2063
513,72000,23.6125
515,73000,72.9506
518,74000,88.596
520,75000,55.7786
522,76000,70.2153
524,77000,127.057
526,78000,68.2388
529,79000,-48.1228
531,80000,94.2467
534,81000,70.0258
536,82000,70.4957
539,83000,-17.3401
541,84000,30.916
543,85000,93.9848
545,86000,113.6618
548,87000,79.7106
551,88000,75.5167
554,89000,-58.1233
556,90000,97.654
559,91000,77.386
561,92000,91.8477
563,93000,44.6298
565,94000,107.5023
567,95000,121.3084
569,96000,131.2774
571,97000,104.5819
574,98000,24.614
576,99000,108.32
578,100000,110.3398
580,101000,119.0767
583,102000,20.5674
585,103000,137.2459
587,104000,46.7012
589,105000,137.8313
591,106000,144.1728
594,107000,98.5995
596,108000,88.5263
598,109000,93.6265
602,110000,39.7147
605,111000,107.6287
607,112000,0.7942
611,113000,31.9034
613,114000,212.7965
615,115000,154.7774
618,116000,45.9035
620,117000,127.7115
622,118000,71.3516
624,119000,136.0426
626,120000,150.0298
628,121000,104.2455
630,122000,142.631
633,123000,54.1541
636,124000,85.7336
638,125000,155.379
640,126000,140.3397
642,127000,116.542
644,128000,105.806
647,129000,77.7985
649,130000,112.8182
651,131000,-35.7548
653,132000,67.2509
655,133000,113.2575
658,134000,107.2695
660,135000,150.6873
662,136000,73.4687
664,137000,-45.869
666,138000,-5.9735
670,139000,71.5879
672,140000,140.423
675,141000,52.6125
677,142000,77.4712
679,143000,91.0853
681,144000,136.9259
685,145000,-7.9149
687,146000,128.9514
689,147000,133.9053
691,148000,149.1787
694,149000,55.9342
697,150000,30.2709
700,151000,10.6761
703,152000,24.9195
705,153000,170.9988
707,154000,201.7715
709,155000,150.2732
711,156000,105.4922
714,157000,97.4946
716,158000,120.7506
718,159000,124.1225
720,160000,161.3869
722,161000,145.9311
724,162000,161.3037
726,163000,68.9142
729,164000,92.939
731,165000,148.3937
733,166000,89.9874
735,167000,144.831
737,168000,80.1532
739,169000,157.3283
741,170000,140.8485
744,171000,99.2844
746,172000,154.853
749,173000,89.0602
751,174000,164.1306
753,175000,122.421
755,176000,82.7143
758,177000,99.786
760,178000,179.7834
762,179000,168.4104
764,180000,81.963
766,181000,111.406
770,182000,96.9878
772,183000,171.5014
774,184000,154.7218
776,185000,169.3458
778,186000,92.3447
780,187000,172.5437
782,188000,158.1819
784,189000,156.2307
786,190000,164.8915
788,191000,137.3343
790,192000,143.6009
792,193000,178.2976
794,194000,106.5117
796,195000,133.8362
798,196000,141.5432
800,197000,136.762
802,198000,151.6879
805,199000,133.4404
807,200000,158.6207
809,201000,207.5992
812,202000,123.3862
814,203000,159.6279
816,204000,137.9831
818,205000,141.6146
820,206000,151.5458
822,207000,159.9075
824,208000,142.0412
827,209000,128.8936
829,210000,154.2842
831,211000,134.4356
833,212000,141.2743
835,213000,153.0337
837,214000,155.7696
839,215000,154.5341
841,216000,149.4129
843,217000,144.3464
846,218000,103.3431
848,219000,158.8646
851,220000,141.1085
853,221000,158.3527
855,222000,94.3531
857,223000,132.0251
859,224000,155.9924
861,225000,162.037
864,226000,112.1174
866,227000,129.6543
868,228000,139.9476
870,229000,153.4728
872,230000,95.7977
875,231000,104.147
877,232000,160.3214
879,233000,144.5246
881,234000,133.3614
883,235000,142.5042
885,236000,149.8105
887,237000,119.711
889,238000,138.3385
891,239000,139.7557
893,240000,137.7668
895,241000,137.1646
898,242000,88.9555
901,243000,85.9758
903,244000,157.2294
905,245000,151.8743
907,246000,154.6321
909,247000,142.7169
911,248000,127.6624
914,249000,97.2596
916,250000,171.9684
918,251000,78.5174
920,252000,152.2327
922,253000,157.6802
924,254000,144.5166
926,255000,70.9861
929,256000,207.8447
931,257000,153.2472
933,258000,187.7215
935,259000,140.6881
937,260000,171.7493
939,261000,171.9485
941,262000,187.3115
943,263000,150.049
945,264000,158.2249
947,265000,161.0306
949,266000,128.5867
951,267000,155.4691
953,268000,158.3697
955,269000,128.7369
957,270000,158.638
959,271000,144.4227
961,272000,141.5178
963,273000,182.5475
965,274000,141.7776
967,275000,152.5881
969,276000,149.2274
971,277000,161.9271
973,278000,170.251
975,279000,183.6077
977,280000,154.8399
979,281000,40.9666
981,282000,152.7804
983,283000,156.1002
